Composition Code,P (GPa),sigP (GPa),T (K),sigT (K),Vm (cm^3/mol),rho (g/cm^3),nu  (Pa/s),signu (Pa/s),MgO (mol %),SiO2 (mol %),H2O (mol %),#Mg,#Si,#O,#H,Source
EnH60,0.92756,0.03445,1775.1742,0.494,39.04350982,39.04350982,8.91E-04,5.84E-04,28.57,28.57,42.86,16,16,72,48,This Study
EnH25,1.045,0.072878,1788.04245,0.43646,37.17753389,2.567465402,0.00981,0.00646,42.86,42.86,14.29,27,27,90,18,This Study
EnH25,1.12216,0.045164,2981.71832,0.4898,39.24295244,2.432335644,0.00145,7.26E-04,42.86,42.86,14.29,27,27,90,18,This Study
EnH50,1.79377,0.039975,1780.02742,0.57745,37.21721845,37.21721845,0.00649,0.00168,33.33,33.33,33.33,20,20,80,40,This Study
EnH50,2.04117,0.043956,2968.2802,0.53751,39.17601942,2.247472594,5.81E-04,9.89E-05,33.33,33.33,33.33,20,20,80,40,This Study
EnH60,2.34624,0.04785,1775.80213,0.53744,36.87442594,36.87442594,0.00202,6.23E-04,28.57,28.57,42.86,16,16,72,48,This Study
EnH60,2.7378,0.0406,2962.13712,0.54191,39.04350982,2.149733474,4.99E-04,1.94E-04,28.57,28.57,42.86,16,16,72,48,This Study
EnH25,2.98628,0.057011,2981.83934,0.64269,37.17753389,2.567465402,0.00162,7.24E-04,42.86,42.86,14.29,27,27,90,18,This Study
EnH25,3.22079,0.066735,1788.91123,0.98235,35.11211534,2.718492779,0.01296,0.01,42.86,42.86,14.29,27,27,90,18,This Study
EnH50,3.65636,0.045282,2968.71452,0.58778,37.21721845,2.365760626,0.00102,1.94E-04,33.33,33.33,33.33,20,20,80,40,This Study
EnH50,3.65823,0.042574,1780.21554,0.65013,35.25841748,35.25841748,0.00519,0.0023,33.33,33.33,33.33,20,20,80,40,This Study
EnH60,4.36866,0.05746,1775.9203,0.87678,34.70534206,34.70534206,0.00234,3.64E-04,28.57,28.57,42.86,16,16,72,48,This Study
